PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.47927165,0.03555366,0.01787866,-0.16917542,0.04776848,0.09105947,0.04763485,-0.0997429,-0.00687656,0.13111387
-0.44564149,0.03663458,-0.01087764,-0.20227806,0.00827996,0.04828564,0.04056662,-0.07751202,-0.0286335,0.14519772
-0.42617324,0.06146664,-0.02379981,-0.19096836,-0.04246565,0.00510428,0.0430572,-0.06491811,-0.03887841,0.15047857
-0.39924014,0.04325212,-0.00574773,-0.17407535,-0.07738463,-0.02942253,0.03248645,-0.05482843,-0.03365678,0.13103552
-0.38683262,0.04792355,0.02653108,-0.16905467,-0.10758714,-0.03922765,0.01706423,-0.05820275,-0.03405993,0.11959724
-0.34454462,0.01705951,0.06143773,-0.16706249,-0.13991861,-0.06565985,0.01876097,-0.04580086,-0.01515139,0.09918246
-0.28908071,0.02502667,0.05738398,-0.16542147,-0.17261912,-0.08587177,0.01125506,-0.04212597,-0.0132801,0.07426068
-0.21976569,0.05212719,0.04487466,-0.17216355,-0.18943396,-0.1350982,0.00304018,-0.07420799,-0.00999342,0.04636654
-0.17196383,0.05598797,0.05686931,-0.16940559,-0.21765195,-0.16938007,-0.00836711,-0.09543914,0.00722683,0.01537957
-0.09769852,0.05577134,0.07004516,-0.15567689,-0.23958886,-0.20109637,-0.00339902,-0.10669208,0.008408,-0.00882295
-0.04041856,0.06603055,0.06321678,-0.15010986,-0.25112554,-0.22528127,-0.00625467,-0.12803742,0.01561957,-0.02292068
0.05254938,0.09611877,0.05892882,-0.13016388,-0.25559098,-0.25453606,-0.0012844,-0.13230957,0.03157828,-0.03647604
0.14511187,0.13922572,0.06526044,-0.08913546,-0.25110832,-0.27538794,-0.0012237,-0.10617325,0.03015307,-0.03538236
0.19386327,0.15295812,0.07636797,-0.04100091,-0.23875864,-0.25611585,0.00189926,-0.09166183,0.03466182,-0.02579215
0.23593211,0.15297584,0.07662546,-0.02414108,-0.2155084,-0.23230578,-0.0061452,-0.10741707,0.03707108,-0.03796529
0.25785807,0.18099593,0.05665597,0.00772896,-0.19163202,-0.21393552,0.00240128,-0.11612703,0.02730864,-0.03485117
0.29603437,0.17943093,0.04460173,0.04332075,-0.16746913,-0.21747774,0.0196009,-0.10469127,0.01293079,-0.03437463
0.31028226,0.1929765,0.02518783,0.07272124,-0.12718612,-0.20807116,0.00230579,-0.10676797,-0.00301691,-0.01703086
0.27805978,0.19431652,0.02746211,0.10732674,-0.0921152,-0.21656351,-7.909e-05,-0.10721543,-0.00664708,0.00105208
0.24688481,0.1675145,0.01562343,0.15442562,-0.06479816,-0.1781278,0.00418696,-0.08470383,-0.00824306,0.03531507
0.20805438,0.14626852,0.00237714,0.17893839,-0.02832202,-0.17085437,0.01193737,-0.08514529,-0.00382064,0.038572
0.15642892,0.14592388,-0.02153164,0.22017366,-0.00748233,-0.1511555,0.00030534,-0.05638588,-0.00039071,0.07148037
0.10480399,0.14091137,-0.05969464,0.25300589,-0.00851995,-0.11236652,-0.0120714,-0.03505211,0.00283454,0.07383437
0.03190678,0.11786214,-0.08474237,0.29204172,-0.00983234,-0.07363066,-0.0373935,-0.01969347,-0.00745618,0.09739435
0.00644792,0.10162048,-0.10641818,0.34149596,-0.00229785,-0.06787284,-0.04751534,-0.01838707,0.01458121,0.09544883
0.01314864,0.08560444,-0.10647073,0.35855544,-0.00312917,-0.07346303,-0.04307574,-0.0505241,0.01639921,0.07801314
0.00189174,0.08274445,-0.10062111,0.38058299,-0.01542444,-0.07591385,-0.03215402,-0.0484193,0.01837419,0.09300061
0.00504087,0.08629049,-0.08271996,0.39457351,-0.01048969,-0.08460161,-0.03497287,-0.04907604,0.00255547,0.1198349
0.00302315,0.09776802,-0.07353687,0.38346639,-0.02785835,-0.0807083,-0.04683131,-0.06192913,0.0058506,0.12905832
-0.00733632,0.12250356,-0.068979,0.37802431,-0.06056425,-0.08211305,-0.0351602,-0.07149675,-0.00671697,0.12512389
0.03254565,0.13476732,-0.05122086,0.366265,-0.08937739,-0.082058,-0.03130044,-0.07299995,-0.02405393,0.10140301
0.05371,0.14900574,-0.0216436,0.36237428,-0.10359838,-0.09484554,-0.02979955,-0.08506805,-0.03478362,0.08694723
0.07402305,0.15286186,-0.00399572,0.3531861,-0.11402423,-0.09600976,-0.02236339,-0.07777093,-0.0488276,0.08710492
0.1091313,0.17659082,0.0206542,0.33244514,-0.13702613,-0.10432629,-0.01068419,-0.08934824,-0.04128762,0.07501397
0.12068132,0.18726197,0.06144343,0.32566816,-0.13299023,-0.11860985,0.00349884,-0.09565032,-0.03602905,0.07528062
0.14239728,0.20367484,0.11453687,0.28316662,-0.12504052,-0.12985876,0.00865571,-0.10336252,-0.03445595,0.06684695
0.18188742,0.20997657,0.14616126,0.25561365,-0.10444233,-0.12833992,0.00981259,-0.09902049,-0.05161303,0.05244753
0.18286724,0.20788608,0.16916756,0.24013829,-0.06601024,-0.1233572,0.00978068,-0.07976862,-0.05265117,0.05432652
0.161713,0.19287923,0.20363922,0.1982642,-0.02579277,-0.13230054,-0.00651686,-0.06400717,-0.04549763,0.04154354
0.13289219,0.17343685,0.21499091,0.16163482,0.00753808,-0.11568226,-0.00858709,-0.06159178,-0.03069002,0.02696812
0.07977895,0.1080666,0.21546315,0.14648582,0.04328973,-0.10120367,-0.01986887,-0.0629971,-0.00850905,0.00539686
0.04234914,0.05161533,0.22248219,0.141872,0.08719503,-0.09237724,-0.05532433,-0.05324867,0.02438805,-0.00977357
-0.02071089,0.0025189,0.22160715,0.13837861,0.13910232,-0.07483505,-0.07398135,-0.0609237,0.03510014,0.01238456
-0.07187936,-0.03869648,0.20294216,0.11546889,0.17045589,-0.07259865,-0.09223932,-0.05427899,0.03815186,0.01599229
-0.12933226,-0.061774,0.18864742,0.11150518,0.19605719,-0.07023769,-0.10312904,-0.05201194,0.0245241,0.02528882
-0.20516288,-0.11046069,0.18047142,0.10112706,0.22480465,-0.05152678,-0.10566643,-0.03526833,0.01486044,0.04191089
-0.2649855,-0.15357189,0.17971671,0.09291504,0.2250247,-0.04832369,-0.10914621,-0.0358838,0.01257729,0.03595143
-0.34370297,-0.18393309,0.16282955,0.08951277,0.21428956,-0.04693895,-0.10272329,-0.04777498,0.02527248,0.01537253
-0.39213002,-0.22629037,0.14691825,0.06596875,0.18227172,-0.03679221,-0.11712503,-0.06228067,0.0401999,0.00490428
-0.4256936,-0.22498129,0.13707371,0.03156248,0.16298893,0.00945665,-0.11709416,-0.08188438,0.01874167,-0.00792399
-0.46691853,-0.20471711,0.1263666,0.03913316,0.14911568,0.03330392,-0.11591588,-0.10628428,0.01178657,-0.0089246
-0.51035661,-0.19300896,0.11780336,0.03257918,0.12019064,0.03529722,-0.12148856,-0.11983461,0.01130097,-0.00666838
-0.53949523,-0.1302304,0.13216072,0.01940087,0.10366046,0.04493507,-0.12687491,-0.12391527,0.02036042,0.00804585
-0.58575344,-0.08649586,0.14911106,0.01156449,0.10674594,0.05236714,-0.11401722,-0.12928508,0.03168021,0.03118802
-0.61363387,-0.06099353,0.16611451,0.0153078,0.07961519,0.05625483,-0.11106908,-0.12162921,0.06176988,0.03174495
-0.63576239,-0.03106276,0.18762223,0.02499487,0.05142105,0.06571516,-0.11038272,-0.10886249,0.08667769,0.02385463
-0.65400684,0.01450897,0.20927225,0.02596135,0.034886,0.08495086,-0.12637492,-0.09894592,0.10379108,0.01927667
-0.68349236,0.03972326,0.22640483,0.01392108,0.03721535,0.09188195,-0.15611169,-0.11187908,0.10653224,0.01268477
-0.72672039,0.09112612,0.22606651,0.00397344,0.04845897,0.10631669,-0.17379089,-0.08755759,0.11370443,0.01917723
-0.76729339,0.11453741,0.22755422,0.00734581,0.06314878,0.13365959,-0.18104544,-0.07678695,0.09156835,0.03349606
-0.75744504,0.13098541,0.22990119,0.02878492,0.065221,0.13038604,-0.17358355,-0.03212148,0.09540183,0.02803606
-0.7684477,0.11318172,0.20912181,0.02353758,0.05375532,0.13080595,-0.16735901,-0.02081626,0.13699761,0.02281866
-0.77350605,0.09533158,0.18981817,-0.00484689,0.02977565,0.1366363,-0.16242769,7.332e-05,0.15787256,0.01101478
-0.77853644,0.10713947,0.1951146,-0.02157571,0.01381661,0.13446571,-0.15854065,0.02348629,0.16476306,0.00403313
-0.77883053,0.10391685,0.17976302,-0.0334151,0.00442671,0.12739497,-0.1530443,0.04270914,0.16083488,-0.00258634
-0.77055997,0.0985198,0.16936864,-0.05557841,-0.03993721,0.11695125,-0.16060328,0.05769723,0.15312389,-0.0019689
-0.77446449,0.12423296,0.15983392,-0.07663634,-0.06398711,0.11400317,-0.17112435,0.0686021,0.15139571,0.0029123
-0.78657258,0.14133295,0.14631598,-0.09728401,-0.07909705,0.11240882,-0.17010428,0.07031294,0.14774586,0.01323071
-0.76699728,0.12846786,0.13396285,-0.12108906,-0.09540279,0.10765354,-0.16672412,0.06669813,0.14021339,0.02854028
